kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
alun-alun,Alun-Alun Brebes,-6.8706354,109.0368815,"Alun-Alun Brebes, Pesanggrahan, Brebes, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Brebes
alun-alun,Alun-Alun Cilacap,-7.7273698,109.0095032,"Alun-Alun Cilacap, RW 01 Kelurahan Sidanegara, Cilacap, Kelurahan Sidanegara Kecamatan Cilacap, Cilacap, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Cilacap
alun-alun,Alun-Alun Gresik,-7.1571326,112.6560463,"alun-alun Gresik, Gresik, Jawa Timur, Jawa, Indonesia",Jawa Timur,Gresik
alun-alun,Alun-Alun Jepara,-6.5897781,110.6673616,"Alun-alun Jepara, Jalan Diponegoro, Kauman, Jepara, Jawa Tengah, Jawa, 59417, Indonesia",Jawa Tengah,Jepara
alun-alun,Alun-Alun Karanganyar,-7.6306506,109.5736782,"Alun-alun Karanganyar, Karanganyar, Kebumen, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kebumen
alun-alun,Alun-Alun Kediri,-7.8265629,112.0110595,"Alun-Alun Kediri, Kampung Dalem, Kota, Kota Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Kediri
alun-alun,Alun-Alun Kendal,-6.9213273,110.2040396,"Alun-Alun Kendal, Kendal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Kendal
alun-alun,Alun-Alun Klaten,-7.704963,110.6018083,"Alun-alun Klaten, Klaten, Klaten City, Klaten, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Klaten City
alun-alun,Alun-Alun Magelang,-7.4771886,110.2182633,"Alun-Alun Kota Magelang, Mateseh, Kauman, Kota Magelang, Jawa Tengah, Jawa, 56122, Indonesia",Jawa Tengah,Kota Magelang
alun-alun,Alun-Alun Pasuruan,-7.6418879,112.9066793,"Alun-Alun Kota Pasuruan, Bangilan, Kota Pasuruan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Pasuruan
alun-alun,Alun-Alun Tegal,-6.8674529,109.1379097,"Alun-alun Kota Tegal, Kademangan, Tegal, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Tegal
alun-alun,Alun-Alun Temanggung,-7.3162058,110.1755232,"Alun-Alun Kota Temanggung, Pandean, Temanggung, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Temanggung
alun-alun,Alun-Alun Lamongan,-7.120213,112.4157189,"Alun-Alun Lamongan, Lamongan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Lamongan
alun-alun,Alun-Alun Lumajang,-8.1352201,113.2244432,"Alun-Alun Lumajang, Ditotrunan, Lumajang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Lumajang
alun-alun,Alun-Alun Madiun,-7.6291792,111.5168307,"Alun-alun Madiun, Pangongangan, Kota Madiun, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Madiun
alun-alun,Alun-Alun Malang,-7.9826135,112.6308234,"Alun-Alun Malang, Kiduldalem, Kota Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Malang
alun-alun,Alun-Alun Mojokerto,-7.4632394,112.4319642,"Alun-Alun Mojokerto, Magersari, Kota Mojokerto, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Mojokerto
alun-alun,Alun-Alun Ngawi,-7.4036079,111.4445975,"Alun-Alun Ngawi, Cabean, Sidorejo, Ngawi, Jawa Timur, Jawa, Indonesia",Jawa Timur,Ngawi
alun-alun,Alun-Alun Pacitan,-8.1946928,111.1031621,"Alun-Alun Pacitan, Pacitan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Pacitan
alun-alun,Alun-Alun Pemalang,-6.8902902,109.3806267,"Alun-Alun Pemalang, Pemalang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Pemalang
alun-alun,Alun-Alun Ponorogo,-7.8710476,111.462263,"Alun-Alun Ponorogo, Ponorogo, Jawa Timur, Jawa, Indonesia",Jawa Timur,Ponorogo
alun-alun,Alun-Alun Probolinggo,-7.7441363,113.2158448,"Alun-Alun Probolinggo, Mayangan, Kota Probolinggo, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kota Probolinggo
alun-alun,Alun-Alun Purbalingga,-7.3895946,109.3632534,"Alun-alun Purbalingga, Purbalingga Food Center, Purbalingga, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Purbalingga
alun-alun,Alun-Alun Rembang,-6.7055526,111.3486723,"Alun-Alun Rembang, Rembang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Rembang
alun-alun,Alun-Alun Sukoharjo,-7.68293,110.8405744,"Alun-Alun Satya Negara, Jetis, Sukoharjo, Jawa Tengah, Jawa, 57511, Indonesia",Jawa Tengah,Sukoharjo
alun-alun,Alun-Alun Serang,-6.1173476,106.1530639,"Alun-Alun Serang, Kotabaru, Serang, Serang ᮞᮦᮛᮀ, Jawa, Indonesia",,Serang ᮞᮦᮛᮀ
alun-alun,Alun-Alun Sidoarjo,-7.4462137,112.7178539,"Alun-Alun Sidoarjo, Pucanganom, Sidoarjo, Jawa Timur, Jawa, Indonesia",Jawa Timur,Sidoarjo
alun-alun,Alun-Alun Situbondo,-7.7068185,114.0054037,"Alun-Alun Situbondo, Dawuhan, Situbondo, Jawa Timur, Jawa, Indonesia",Jawa Timur,Situbondo
alun-alun,Alun-Alun Sragen,-7.4277082,111.0234646,"Alun-Alun Sragen ""Sasana Langen Putra"", Sragen, Jawa Tengah, Jawa, 57211, Indonesia",Jawa Tengah,Sragen
alun-alun,Alun-Alun Trenggalek,-8.0491348,111.7092032,"Alun-Alun Trenggalek, Trenggalek, Jawa Timur, Jawa, Indonesia",Jawa Timur,Trenggalek
alun-alun,Alun-Alun Utara Yogyakarta,-7.8044707,110.3643622,"Alun-Alun Utara Yogyakarta, Musikanan, Panembahan, Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta
alun-alun,Alun-Alun Solo,-7.5747341,110.8287812,"Alun-alun utara, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Surakarta
alun-alun,Alun-Alun Wonosobo,-7.3587052,109.9030423,"Alun-Alun Wonosobo, Wonosobo, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Wonosobo
lembah,Lembah Pinus Cianjur,-6.7161611,107.009978,"Arra Lembah Pinus Hotel, Gang Perintis, Kampung Parabo, Ciloto, Cianjur, Jawa Barat, Jawa, 43253, Indonesia",Jawa Barat,Cianjur
wisata kuliner,Bakso President Malang,-7.9624439,112.6368008,"Bakso President, Jalan Batanghari, Rampal Celaket, Kota Malang, Jawa Timur, Jawa, 65123, Indonesia",Jawa Timur,Kota Malang
kebun binatang,Bali Bird Park,-8.6001941,115.2509922,"Bali Bird Park, Jalan Piakan I, Singapadu, Gianyar, Bali, Nusa Tenggara, 80238, Indonesia",Bali,Gianyar
wisata edukasi,Bali Safari & Marine Park,-8.5808653,115.3440854,"Bali Safari & Marine Park, Profesor Ida Bagus Mantra Bypass, Keramas, Gianyar, Bali, Nusa Tenggara, 80716, Indonesia",Bali,Gianyar
kebun binatang,Bali Zoo,-8.5912841,115.2645589,"Bali Zoo, Jalan Jaga Raga, Singapadu, Gianyar, Bali, Nusa Tenggara, 80582, Indonesia",Bali,Gianyar
mall,Bandung Indah Plaza,-6.9083381,107.6112548,"Bandung Indah Plaza, Jalan Sumatra, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40117, Indonesia",Jawa Barat,Kota Bandung
wisata tematik,Batu Love Garden,-7.8638662,112.5428658,"Batu Love Garden, Pandanrejo, Kota Batu, Lowokwaru, Jawa Timur, Jawa, 65332, Indonesia",Jawa Timur,Kota Batu
wahana keluarga,Batu Secret Zoo,-7.8881687,112.529164,"Batu Secret Zoo, Drun Store Pohon Inn, Oro-oro Ombo, Kota Batu, Klojen, Jawa Timur, Jawa, 65316, Indonesia",Jawa Timur,Kota Batu
mall,Baywalk Mall Pluit,-6.1079134,106.7796191,"Baywalk Mall, Jalan Mandala Bahari, RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14450, Indonesia",,Daerah Khusus ibukota Jakarta
wisata kerajaan,Benteng Speelwijk Banten,-6.0310818,106.1507599,"Benteng Speelwijk, Banten, Kasemen, Serang ᮞᮦᮛᮀ, Jawa, Indonesia",,Serang ᮞᮦᮛᮀ
wisata kerajaan,Benteng Baluwarti,-7.572122,110.8312357,"Benteng Vastenburg, Jalan Panglima Besar Sudirman, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, 57133, Indonesia",Jawa Tengah,Surakarta
wisata edukasi,Museum Benteng Vredeburg,-7.8001537,110.3663364,"Benteng Vredeburg, Jalan Margo Mulyo, Kampung Ketandan, Prawirodirjan, Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55122, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta
wisata religi,Candi Borobudur,-7.6079583,110.2038245,"Borobudur, jalur, Borobudur, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
bukit,Bukit Asah Karangasem,-8.4947581,115.5960209,"Bukit Asah, Bugbug, Kecamatan Karangasem, Karangasem, Bali, Nusa Tenggara, 80311, Indonesia",Bali,Karangasem
bukit,Bukit Bintang Yogyakarta,-7.8460828,110.4796997,"Bukit Bintang, Jalan Raya Wonosari - Yogyakarta, Ngasemayu, Patuk, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55862, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
