nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Plaza Palu,-0.8317762,119.8800634,"Baywalk Citraland Palu, Iradatpuri, Kecamatan Mantikulore, Palu, Sulawesi Tengah, Sulawesi, 94119, Indonesia",Sulawesi Tengah,Palu
Bukit Mamuju,-2.0919997,119.3764094,"Bendungan Bukit Cinta, Mamuju Tengah, Sulawesi Barat, Sulawesi, Indonesia",Sulawesi Barat,Mamuju Tengah
Benteng Pendem,-7.7491116,109.0172596,"Benteng Pendem, Jalan Karang, RW 06 Kelurahan Cilacap, Cilacap, Kelurahan Cilacap Kecamatan Cilacap, Cilacap, Jawa Tengah, Jawa, 53212, Indonesia",Jawa Tengah,Kelurahan Cilacap Kecamatan Cilacap
Benteng Speelwijk,-6.0310818,106.1507599,"Benteng Speelwijk, Banten, Kasemen, Serang ᮞᮦᮛᮀ, Jawa, Indonesia",,Serang ᮞᮦᮛᮀ
Benteng Surosowan,-6.0378452,106.1558032,"Benteng Surosowan, Banten, Kasemen, Serang ᮞᮦᮛᮀ, Jawa, Indonesia",,Serang ᮞᮦᮛᮀ
Benteng Vastenburg,-7.572122,110.8312357,"Benteng Vastenburg, Jalan Panglima Besar Sudirman, Kauman, Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, 57133, Indonesia",Jawa Tengah,Surakarta
Museum Benteng Vredeburg,-7.8001537,110.3663364,"Benteng Vredeburg, Jalan Margo Mulyo, Kampung Ketandan, Prawirodirjan, Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55122, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta
Pulau Sumbawa Besar,-8.4662963,117.4038685,"Boat to Pulau Moyo, Jalan Garuda, Brang Biji, Sumbawa, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
Candi Borobudur,-7.6079583,110.2038245,"Borobudur, jalur, Borobudur, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
Pantai Bontang,0.113411,117.4819838,"BRI, Jalan Sultan Hasanuddin, Berbas Tengah, Bontang, Kalimantan Timur, Kalimantan, 77435, Indonesia",Kalimantan Timur,Bontang
Bukit Asah Bugbug,-8.4947581,115.5960209,"Bukit Asah, Bugbug, Kecamatan Karangasem, Karangasem, Bali, Nusa Tenggara, 80311, Indonesia",Bali,Karangasem
Bukit Baka,-0.65,112.366667,"Bukit Baka, Menukung, Melawi, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Melawi
Bukit Batu,-1.7494671,114.3528566,"Bukit Batu, Kapuas, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Kapuas
Bukit Besar,-3.166667,102.866667,"Bukit Besar, Lubuklinggau, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Lubuklinggau
Bukit Bintang,-7.8460828,110.4796997,"Bukit Bintang, Jalan Raya Wonosari - Yogyakarta, Ngasemayu, Patuk, Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀, Daerah Istimewa Yogyakarta, Jawa, 55862, Indonesia",Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul ꦏꦧꦸꦥꦠꦺꦤ꧀ꦒꦸꦤꦸꦁꦏꦶꦢꦸꦭ꧀
Bukit Campuhan,-8.5044293,115.2552405,"Bukit Campuhan, Ubud, Kecamatan Ubud, Gianyar, Bali, Nusa Tenggara, 80571, Indonesia",Bali,Gianyar
Bukit Cinta,-7.9145615,112.9390159,"Bukit Cinta, Pasuruan, Jawa Timur, Jawa, 67254, Indonesia",Jawa Timur,Pasuruan
Bukit Doa Tomohon,1.3493247,124.8503698,"Bukit Doa, Bukit Doa Mahawu Pathway, Tomohon, Sulawesi Utara, Sulawesi, 95362, Indonesia",Sulawesi Utara,Tomohon
Bukit Jamur,-7.0426224,112.5667217,"Bukit Jamur Gresik, Sukowati, Gresik, Jawa Timur, Jawa, Indonesia",Jawa Timur,Gresik
Bukit Kapur Arosbaya,-6.9474419,112.8593068,"Bukit Kapur Arosbaya, Jalan K.H. Zainal Alimin, Karang Pao, Bangkalan, Jawa Timur, Jawa, 69151, Indonesia",Jawa Timur,Bangkalan
Bukit Kelam,0.078675,111.6480665,"Bukit Kelam, Kelam Permai, Sintang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Sintang
Bukit Muntai,-2.984875,106.5260778,"Bukit Muntai, Bangka Selatan, Kepulauan Bangka Belitung, Sumatera, 33183, Indonesia",Kepulauan Bangka Belitung,Bangka Selatan
Bukit Raya,1.0354835,111.3574287,"Bukit Raya, Ketungau Hulu, Sintang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Sintang
Bukit Raya,-0.4102769,117.070862,"Bukit Raya, Kutai Kartanegara, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Kutai Kartanegara
Bukit Selong,-8.365312,116.5400179,"Bukit Selong, Jalan Raya Ambarita, Sembalun Lawang, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, 83656, Indonesia",Nusa Tenggara Barat,
Bukit Serelo,-3.8120142,103.6703499,"Bukit Serelo, Tanjung Menang, Merapi Selatan, Lahat, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Lahat
Bukit Sikunir,-7.2387021,109.9250284,"Bukit Sikunir, Sembungan, Wonosobo, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Wonosobo
Bukit Wairinding,-9.6794624,120.1000531,"bukit wairinding, Jalan Lintas Sumba, Desa Makamenggit, Kecamatan Ngaha Ori Angu, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Timur
Danau Limboto,0.5837874,122.9926691,"Bulalo Limboto, Hutadaa, Gorontalo, Sulawesi, Indonesia",Gorontalo,Gorontalo
Campuhan Ridge Walk,-8.5037726,115.2547973,"Campuhan Ridge Walk, Ubud, Gianyar, Bali, Nusa Tenggara, 80571, Indonesia",Bali,Gianyar
Candi Jago,-8.0057895,112.7640934,"Candi Jago, Jalan Raya Tumpang, Malangsuko, Tumpang, Kabupaten Malang, Jawa Timur, Jawa, 65156, Indonesia",Jawa Timur,Kabupaten Malang
Candi Mendut,-7.6048222,110.2301202,"Candi Mendut, Jalan Mayor Kusen, Ngrajek, Mendut, Magelang, Jawa Tengah, Jawa, 56511, Indonesia",Jawa Tengah,Magelang
Candi Pawon,-7.6061281,110.2195602,"Candi Pawon, Jalan Balaputera Dewa, Wanurejo, Borobudur, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
Candi Penataran,-8.0161052,112.2092511,"Candi Penataran, Jalan Insinyur Soekarno, Kedawung, Blitar, Jawa Timur, Jawa, 66181, Indonesia",Jawa Timur,Blitar
Candi Plaosan,-7.74056,110.5045511,"Candi Plaosan Lor, Jalan Prambanan - Manisrenggo, Kebondalem Lor, Klaten, Jawa Tengah, Jawa, 57454, Indonesia",Jawa Tengah,Klaten
Candi Prambanan,-7.7522269,110.4915331,"Candi Prambanan, Jalan Jogja - Solo, Bokoharjo, Prambanan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 57454, Indonesia",Daerah Istimewa Yogyakarta,Sleman
