nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Gunung Pasi,0.85,109,"Gunung Pasi, Singkawang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Singkawang
Gunung Putri Lembang,-6.795556,107.635833,"Gunung Putri, Lembang, Bandung Barat, Jawa Barat, Jawa, 40931, Indonesia",Jawa Barat,Bandung Barat
Gunung Rajabasa,-5.7815291,105.6273999,"Gunung Rajabasa, Lampung Selatan, Lampung, Sumatera, 35592, Indonesia",Lampung,Lampung Selatan
Gunung Raya,0.866667,109.066667,"Gunung Raya, Singkawang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Singkawang
Gunung Saran,-0.416667,111.3,"Gunung Saran, Tempunak, Sintang, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Sintang
Gunung Semeru,-0.5002236,117.1388151,"Gunung Semeru, Jawa, Samarinda Ulu, Samarinda, Kalimantan Timur, Kalimantan, 75116, Indonesia",Kalimantan Timur,Samarinda
Gunung Semeru,-8.1078426,112.92248,"Gunung Semeru, Lumajang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Lumajang
Gunung Sindoro,-7.3011387,109.9966992,"Gunung Sindoro, Wonosobo, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Wonosobo
Gunung Slamet,-7.2414693,109.2149699,"Gunung Slamet, Pemalang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Pemalang
Gunung Sumbing,-7.3818933,110.0758185,"Gunung Sumbing, Temanggung, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Temanggung
Gunung Tampomas,-6.7637152,107.9605847,"Gunung Tampomas, Sumedang, Jawa Barat, Jawa, Indonesia",Jawa Barat,Sumedang
Pantai Air Saga,-2.7260361,107.6298609,"Hotel Bunga Pantai, Jalan Pattimura, Tanjung Pendam, Belitung, Kepulauan Bangka Belitung, Sumatera, 33415, Indonesia",Kepulauan Bangka Belitung,Belitung
Kendari Plaza,-3.9805964,122.5105961,"Hotel Plaza Inn Kendari by Horison, Jalan Jenderal Ahmad Yani, Mandonga, Kendari, Sulawesi Tenggara, Sulawesi, 93117, Indonesia",Sulawesi Tenggara,Kendari
House of Sampoerna,-7.2309923,112.7341461,"House of Sampoerna, 6, Jalan Sampoerna, RW 01, Krembangan Utara, Pabean Cantian, Surabaya, Jawa Timur, Jawa, 60163, Indonesia",Jawa Timur,Surabaya
Puncak Becici,-7.9012592,110.4372592,"Hutan Pinus Becici, Jalan Gunung Cilik, Muntuk, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
Istana Bogor,-6.5979795,106.7975641,"Istana Bogor, Jalan Insinyur Haji Djuanda, Kelurahan Pabaton, Bogor Tengah, Bogor, Jawa Barat, Jawa, 16121, Indonesia",Jawa Barat,Bogor
Istana Tampaksiring,-8.4143074,115.313147,"Istana Kepresidenan Tampaksiring, Mancingan, Manukaya, Gianyar, Bali, Nusa Tenggara, Indonesia",Bali,Gianyar
Taman Jepun,-8.6675057,115.2443466,"Istana Taman Jepun, 104H-106H, Jalan Hayam Wuruk, Denpasar Timur, Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ, Bali, Nusa Tenggara, 80235, Indonesia",Bali,Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ
Candi Kalasan,-7.0059546,110.375504,"Jalan Candi Kalasan Selatan VIII, RW 11, Kalipancur, Ngaliyan, Kota Semarang, Jawa Tengah, Jawa, 50148, Indonesia",Jawa Tengah,Kota Semarang
Danau Melintang,-8.6070748,116.1082543,"Jalan Danau Melintang, Perumahan Pagutan, Kel. Pagutan Barat, Pagesangan, Mataram, Kec. Mataram, Nusa Tenggara Barat, Nusa Tenggara, 83117, Indonesia",Nusa Tenggara Barat,Mataram
Danau Sentani,-0.8581333,131.2493279,"Jalan Danau Sentani, Rufei, Sorong, Papua Barat Daya, Western New Guinea, 98411, Indonesia",Papua Barat Daya,Sorong
Gunung Arfak,-0.8741366,131.2517561,"Jalan Gunung Arfak, Kampung Saga, Sorong, Papua Barat Daya, Western New Guinea, 98411, Indonesia",Papua Barat Daya,Sorong
Gunung Bawakaraeng,-4.5352463,120.3231088,"Jalan Gunung Bawakaraeng, Bone ᨅᨚᨊᨙ, Bukaka, Sulawesi Selatan, Sulawesi, 92712, Indonesia",Sulawesi Selatan,Sulawesi
Gunung Bromo,-0.9219972,116.8927633,"Jalan Gunung Bromo, Suko Mulyo, Penajam Paser Utara, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Penajam Paser Utara
Gunung Guntur,-6.7477791,108.5598827,"Jalan Gunung Guntur D. 15, Kecapi, Harjamukti, Kota Cirebon, Jawa Barat, Jawa, 45142, Indonesia",Jawa Barat,Kota Cirebon
Gunung Latimojong,-3.3786177,120.3047851,"Jalan Gunung Latimojong, Luwu, Balla, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
Gunung Lompobattang,-3.5611708,119.7801217,"Jalan Gunung Lompobattang, Aufaa Residence 4, Galonta, Enrekang, Sulawesi Selatan, Sulawesi, 91711, Indonesia",Sulawesi Selatan,Sulawesi
Gunung Meratus,-0.4213539,116.9809166,"Jalan Gunung Meratus, Melayu, Kutai Kartanegara, Kalimantan Timur, Kalimantan, 75513, Indonesia",Kalimantan Timur,Kutai Kartanegara
Gunung Nona,-5.1443205,119.4230627,"Jalan Gunung Nona Baru, Maradekaya, Makassar, Sulawesi Selatan, Sulawesi, 90141, Indonesia",Sulawesi Selatan,Makassar
Hutan Pinus Mangunan,-7.9228665,110.4341077,"Jalan Hutan Pinus Nganjir, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
Kampung Samarinda,-0.5079768,117.164586,"Jalan Kampung Buton Gunung Sejuk, Sungai Dama, Samarinda Ilir, Samarinda, Kalimantan Timur, Kalimantan, 75115, Indonesia",Kalimantan Timur,Samarinda
Kampung Melayu,-2.5820842,115.3864899,"Jalan Kampung Melayu, Barabai, Hulu Sungai Tengah, Kalimantan Selatan, Kalimantan, 71312, Indonesia",Kalimantan Selatan,Hulu Sungai Tengah
Kampung Cikadu,-6.5256832,105.6803975,"Jalan Kampung Wisata Cikadu, RT 002/RW 001 Kp. Cikadu Indah, RW 001, Dusun 1, Cipakis, Tanjungjaya, Pandeglang, Banten, Jawa, Indonesia",Banten,Pandeglang
Pantai Gerupuk,-8.6127174,116.1061556,"Jalan Pantai Gerupuk, Perumahan Pagutan, Kel. Pagutan, Bajur, Mataram, Kec. Mataram, Nusa Tenggara Barat, Nusa Tenggara, 83117, Indonesia",Nusa Tenggara Barat,Mataram
Pantai Candidasa,-8.5121812,115.5766859,"Jalan Pantai Indah, Candi Dasa 1, Candidasa, Kecamatan Karangasem, Karangasem, Bali, Nusa Tenggara, 80851, Indonesia",Bali,Karangasem
Pantai Kulisusu,-4.7691904,123.1729134,"Jalan Pantai Loji, L O J I, Kulisusu, Buton Utara, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Buton Utara
Pantai Nusa Dua,-8.8058365,115.2249757,"Jalan Pantai Mengiat, Nusa Dua, Benoa, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",Bali,Badung
Pantai Popoh,-8.2494031,111.8087741,"Jalan Pantai Popoh, Tulungagung, Jawa Timur, Jawa, Indonesia",Jawa Timur,Tulungagung
Pantai Sekotong,-8.6112353,116.1068754,"Jalan Pantai Sekotong, Perumahan Pagutan, Kel. Pagutan Barat, Lingk. Bukit Ngandang, Mataram, Kec. Mataram, Nusa Tenggara Barat, Nusa Tenggara, 83117, Indonesia",Nusa Tenggara Barat,Mataram
Pantai Batu Layar,-8.4990433,116.0481663,"Jalan Pantai Senggigi, Dusun Loco Dalam, Senggigi, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, 83355, Indonesia",Nusa Tenggara Barat,Lombok Barat
Pantai Sire,-8.6029369,116.1300819,"Jalan Pantai Sire, Lingk. Abian Tubuh Selatan, Kel. Abian Tubuh Baru, Mataram, Kec. Cakranegara, Nusa Tenggara Barat, Nusa Tenggara, 83232, Indonesia",Nusa Tenggara Barat,Mataram
Pantai Tanah Merah,-1.0475821,117.1014597,"Jalan Pantai Tanah Merah, Tanjung Harapan, Kutai Kartanegara, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Kutai Kartanegara
Pantai Sembalun,-8.6010084,116.0752593,"Jalan Pantai Tanjung Karang, Lingk. Bendega, Kel. Tanjung Karang, Mataram, Kec. Sekarbela, Nusa Tenggara Barat, Nusa Tenggara, 83115, Indonesia",Nusa Tenggara Barat,Mataram
Pantai Oesapa,-10.140084,123.6554493,"Jalan Pantai Warna Oesapa, Oesapa, Kupang, Nusa Tenggara Timur, Nusa Tenggara, 85228, Indonesia",Nusa Tenggara Timur,Kupang
Pasar Malam Makassar,-5.1377954,119.4325202,"Jalan Pasar Malam 1, Maccini, Makassar, Sulawesi Selatan, Sulawesi, 90152, Indonesia",Sulawesi Selatan,Makassar
Pantai Seseh,-8.645371,115.1143403,"Jalan Raya Pantai Seseh, Pererenan, Badung, Bali, Nusa Tenggara, 08456, Indonesia",Bali,Badung
Situ Bagendit,-6.9452606,107.6285058,"Jalan Situ Bagendit, Cijagra, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40265, Indonesia",Jawa Barat,Kota Bandung
Mall Ternate,0.7914972,127.3905435,"Jatiland Mall, Jalan Sultan Iskandar Muhammad Djabir Syah, Santiong, Ternate, Maluku Utara, Maluku, 97712, Indonesia",Maluku Utara,Ternate
Jembatan Tenggarong,-0.4443046,117.0027737,"Jembatan Kartanegara, Teluk Dalam, Kutai Kartanegara, Kalimantan Timur, Kalimantan, 75572, Indonesia",Kalimantan Timur,Kutai Kartanegara
Jembatan Mahakam,-0.5197684,117.1191352,"Jembatan Mahakam, Sungai Keledang, Samarinda Seberang, Samarinda, Kalimantan Timur, Kalimantan, 75126, Indonesia",Kalimantan Timur,Samarinda
Suramadu Bridge,-7.1842763,112.7803027,"Jembatan Suramadu, Jalan Haji Mohammad Noer, RW 02, Tambak Wedi, Kenjeran, Pangpong, Bangkalan, Jawa Timur, Jawa, 60126, Indonesia",Jawa Timur,Bangkalan
Pasar Kapuas Hulu,0.6643468,112.2773659,"Jongkong Pasar, Jongkong, Kapuas Hulu, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Kapuas Hulu
Kaliurang,-7.6005217,110.4256299,"Kaliurang, Hargobinangun, Pakem, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55583, Indonesia",Daerah Istimewa Yogyakarta,Hargobinangun
Kawah Kamojang,-7.125,107.8,"Kamojang, Kawah, Kabupaten Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kabupaten Bandung
Kampung Adat Bena,-8.8771647,120.986082,"Kampung Adat Bena, Trekking, Watumeze, Watu, Ngada, Nusa Tenggara Timur, Nusa Tenggara, 86452, Indonesia",Nusa Tenggara Timur,Ngada
Kampung Adat Luba,-8.8746304,120.9845814,"Kampung Adat Luba, Trekking, Watumeze, Watu, Ngada, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Ngada
Kampung Arab Ampel,-7.2315883,112.7425599,"Kampung Arab Market, RW 02, Ampel, Semampir, Surabaya, Jawa Timur, Jawa, 60162, Indonesia",Jawa Timur,Surabaya
Kampung Gajah Wonderland,-6.8295078,107.5965635,"Kampung Gajah Wonderland, #KM3,8, Jalan Sersan Bajuri, Gudangkahuripan, Bandung Barat, Jawa Barat, Jawa, 40154, Indonesia",Jawa Barat,Bandung Barat
Kampung Sampireun,-7.2028023,107.8167749,"Kampung Sampireun Resort & Spa, Jalan Sukakarya, Small village (densified building area), Sukakarya, Samarang, Garut, Jawa Barat, Jawa, Indonesia",Jawa Barat,Sukakarya
Kampung Ciburial,-6.8410502,107.6557382,"Kampung Sekejolang RW 09 Desa Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kabupaten Bandung
Kampung Tridi Malang,-7.9817148,112.6379373,"Kampung Tridi (3D Village), Jalan Brantas, RW 12 KEL. KESATRIAN, KOTA MALANG, Sukoharjo, Kota Malang, Jawa Timur, Jawa, 65118, Indonesia",Jawa Timur,Kota Malang
Kampung Warna-warni Jodipan,-7.9831221,112.6378633,"Kampung Warna Warni Jodipan, Jalan Insinyur Haji Juanda, RW 02 Kel. Jodipan Kec. Blimbing Kota Malang, Sukoharjo, Kota Malang, Jawa Timur, Jawa, 65118, Indonesia",Jawa Timur,Kota Malang
Air Terjun Kanto Lampo,-8.5323414,115.3329825,"Kanto Lampo, Beng, Gianyar, Bali, Nusa Tenggara, 80512, Indonesia",Bali,Gianyar
Pasar Kota Barito,-3.1310335,114.4848887,"Kantor Desa Anjir Pasar Lama, Kuala Kapuas - Anjir Pasar Kota, Anjir Serapat Tengah, Barito Kuala, Kalimantan Selatan, Kalimantan, Indonesia",Kalimantan Selatan,Barito Kuala
Kampung Wamena,-4.0913238,138.9365159,"Kantor Kampung Honelama Dua, Gang Pilamo, Honelama Dua, Wamena, Jayawijaya, Papua Pegunungan, Western New Guinea, 99511, Indonesia",Papua Pegunungan,Wamena
Kampung Berau,2.1997013,116.6992953,"Kantor Kampung Punan Mahkam (Long Pay), Berau, Kalimantan Timur, Kalimantan, 77361, Indonesia",Kalimantan Timur,Berau
Taman Kota Bontang,0.1355253,117.4678902,"Kantor PDAM Tirta Taman Kota Bontang, Jalan Brigadir Jenderal Katamso, Belimbing, Bontang, Kalimantan Timur, Kalimantan, 75313, Indonesia",Kalimantan Timur,Bontang
Gereja Katedral Jakarta,-6.1692046,106.8332373,"Katedral Jakarta, Jalan Lapangan Banteng Utara, RW 08, Pasar Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10120, Indonesia",,Daerah Khusus ibukota Jakarta
Kawah Putih,-7.1661181,107.4022669,"Kawah Putih, Kabupaten Bandung, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kabupaten Bandung
Kawah Ratu,-6.7169833,106.7128302,"Kawah Ratu, Pamijahan, Kab Bogor, Jawa Barat, Jawa, Indonesia",Jawa Barat,Kab Bogor
Kawah Sikidang,-7.2197193,109.904795,"Kawah Sikidang, Karang Sari, Banjarnegara, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Banjarnegara
Air Terjun Tumpak Sewu,-8.2389311,112.9214262,"Kawasan Air Terjun Tumpak Sewu, Jagalan, Sidorenggo, Kabupaten Malang, Jawa Timur, Jawa, 67374, Indonesia",Jawa Timur,Kabupaten Malang
Candi Ratu Boko,-7.770512,110.4894642,"Kawasan Candi Ratu Boko, Jalan Piyungan - Prambanan, Bokoharjo, Prambanan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55572, Indonesia",Daerah Istimewa Yogyakarta,Sleman
Kebun Binatang Ragunan,-6.3114056,106.8216699,"Kebun Binatang Ragunan, Jalan Haji Matasan, RW 04, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 12620, Indonesia",,Daerah Khusus ibukota Jakarta
Kebun Buah Mangunan,-7.9414871,110.4248003,"Kebun Buah Mangunan, Jalan Keluar Kebun, Mangunan, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul
Kebun Kelapa Sawit,-1.3106928,116.7461412,"Kebun Kelapa Sawit, Sungai Parit, Penajam Paser Utara, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Penajam Paser Utara
Kebun Raya Baturraden,-7.3055119,109.2314141,"Kebun Raya Baturraden, Jalur Pendakian Gunung Slamet via Baturaden, Baturaden, Banyumas, Jawa Tengah, Jawa, 53151, Indonesia",Jawa Tengah,Banyumas
Kebun Raya Kalimantan Utara,4.0895795,117.6399182,"Kebun Raya Binusan, Binusan, Nunukan, Kalimantan Utara, Kalimantan, Indonesia",Kalimantan Utara,Nunukan
Kebun Raya Bogor,-6.5983032,106.7994187,"Kebun Raya Bogor, Bogor Tengah, Bogor, Jawa Barat, Jawa, Indonesia",Jawa Barat,Bogor
Kebun Raya Purwodadi,-7.7998333,112.741642,"Kebun Raya Purwodadi, Jalan Raya Surabaya - Malang, Kertosari, Pasuruan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Pasuruan
Kebun Raya Malang,-7.7998333,112.741642,"Kebun Raya Purwodadi, Jalan Raya Surabaya - Malang, Kertosari, Pasuruan, Jawa Timur, Jawa, Indonesia",Jawa Timur,Pasuruan
Kebun Raya Samarinda,-0.4493074,117.2109205,"Kebun Raya Unmul Samarinda, Tanah Merah, Samarinda Utara, Samarinda, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Samarinda
Kebun Teh Wonosari,-7.812482,112.6402789,"Kebun Teh Wonosari, Ptpn Wonosari, Kabupaten Malang, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Malang
Gunung Inerie,-8.8781,120.9543,"Keli Inerie, Ngada, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Ngada
Kendari Town Square,-3.9700124,122.520082,"Kendari Town Square, Jalan Saranani, Korumba, Kendari, Sulawesi Tenggara, Sulawesi, 93111, Indonesia",Sulawesi Tenggara,Kendari
Kepulauan Raja Ampat,0.3768088,131.0493911,"Kepulauan Ayu, Reni, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia",Papua Barat Daya,Raja Ampat
Pulau Seribu,-5.6350469,106.5803541,"Kepulauan Seribu, Daerah Khusus ibukota Jakarta, Jawa, 14520, Indonesia",,Daerah Khusus ibukota Jakarta
Keraton Yogyakarta,-7.8029256,110.3651894,"Keraton Yogyakarta, Jalan Alun Alun Utara, Kampung Ketandan, Prawirodirjan, Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Jawa, 55000, Indonesia",Daerah Istimewa Yogyakarta,Kota Yogyakarta
Kertha Gosa,-8.5354185,115.4035849,"Kertha Gosa, Jalan Puputan, Semarapura, Klungkung, Bali, Nusa Tenggara, 80761, Indonesia",Bali,Klungkung
Candi Sari,-7.2049565,109.9078202,"Kompleks Candi Arjuna, Karang Sari, Dieng Kulon, Banjarnegara, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Banjarnegara
Pantai Carita,-6.3042114,105.8416302,"Kondominium Pantai Carita Selatan, 3, Sukajadi, Pandeglang, Jawa, 42273, Indonesia",,Pandeglang
Kota Tua Jakarta,-6.1311835,106.8107492,"Kota Tua Jakarta, Jalan Mangga Dua Raya, RW 04, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, 11110, Indonesia",,Daerah Khusus ibukota Jakarta
Krisna Oleh-oleh Bali,-8.7298532,115.1795782,"Krisna Oleh-Oleh (Bali Bypass), Jalan Bypass Ngurah Rai, Kuta, Badung, Bali, Nusa Tenggara, 80631, Indonesia",Bali,Badung
Kuta Square,-8.7235249,115.1713214,"Kuta Square, Kuta, Badung, Bali, Nusa Tenggara, 80361, Indonesia",Bali,Badung
Labuan Bajo,-8.4944201,119.8855688,"Labuan Bajo, Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, 86754, Indonesia",Nusa Tenggara Timur,Labuan Bajo
Taman Kota Palu,-0.9002119,119.8894116,"Lapangan Vatulemo Palu (Taman Kota), Tanamodindi, Kecamatan Mantikulore, Palu, Sulawesi Tengah, Sulawesi, Indonesia",Sulawesi Tengah,Palu
Monumen Kaltim,-1.2792545,116.8222491,"Lingkungan Monumen Perjuangan Rakyat Balikpapan, Klandasan Ulu, Balikpapan Kota, Balikpapan, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Balikpapan
Lippo Mall Kuta,-8.735344,115.166501,"Lippo Mall Kuta, Jalan Kartika Plaza, Kuta, Badung, Bali, Nusa Tenggara, 80361, Indonesia",Bali,Badung
Pantai Bunaken,1.6186573,124.7662841,"Loket Pintu Masuk Pantai Liang, Public Harbour, Bunaken, Manado, Sulawesi Utara, Sulawesi, 95231, Indonesia",Sulawesi Utara,Manado
Mall Bali Galeria,-8.7230405,115.1842534,"Mall Bali Galeria, Under Pass Dewa Ruci, Kuta, Badung, Bali, Nusa Tenggara, 80361, Indonesia",Bali,Badung
Mall GTC Makassar,-5.1695829,119.3907241,"Mall GTC, Jalan Metro Tanjung Bunga, Tanjung Merdeka, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90134, Indonesia",Sulawesi Selatan,Makassar
Mall Tanjung Bunga,-5.1695829,119.3907241,"Mall GTC, Jalan Metro Tanjung Bunga, Tanjung Merdeka, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90134, Indonesia",Sulawesi Selatan,Makassar
Mall Lembuswana Samarinda,-0.4751019,117.1472198,"Mall Lembuswana, Jalan Mayor Jenderal S. Parman, Gunung Kelua, Samarinda Ulu, Samarinda, Kalimantan Timur, Kalimantan, 75243, Indonesia",Kalimantan Timur,Samarinda
Mall Ratu Indah,-5.1532849,119.4173215,"Mall Ratu Indah, Jalan Sam Ratulangi, Mamajang Luar, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Sulawesi Selatan,Makassar
Taman Anggrek Mall,-6.1783746,106.7922761,"Mall Taman Anggrek, Kav. 21, Jalan Tanjung Duren Timur II, RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, 11470, Indonesia",,Daerah Khusus ibukota Jakarta
Mall Mamuju,-2.669206,118.8917557,"Mamuju Town Square, Lorong Rawa Indah, Mamuju, Sulawesi Barat, Sulawesi, 91515, Indonesia",Sulawesi Barat,Mamuju
Kota Manado,1.4900578,124.8408708,"Manado, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Manado
Sacred Monkey Forest Sanctuary,-8.5187349,115.2583202,"Mandala Wisata Wenara Wana, Ubud, Kecamatan Ubud, Gianyar, Bali, Nusa Tenggara, 80571, Indonesia",Bali,Gianyar
Masjid Agung Gorontalo,0.5379076,123.0603093,"Masjid Agung Baiturrahim, Jalan Nani Wartabone, Gorontalo, Sulawesi, 96114, Indonesia",Gorontalo,Gorontalo
Masjid Agung Surabaya,-7.229971,112.7428733,"Masjid Agung Sunan Ampel, 53, Jalan Ampel Masjid, Masjid Agung Ampel, Ampel, Semampir, Surabaya, Jawa Timur, Jawa, 60151, Indonesia",Jawa Timur,Surabaya
Masjid Al-Markaz,-4.0104037,119.6314252,"Masjid Al Markaz, Jalan Jenderal Ahmad Yani, Soreang, Parepare, Sulawesi Selatan, Sulawesi, 91113, Indonesia",Sulawesi Selatan,Parepare
Masjid Istiqlal,-6.1702779,106.8310435,"Masjid Istiqlal, Jalan KH Hasyim Asyari, RW 08, Pasar Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10110, Indonesia",,Daerah Khusus ibukota Jakarta
Masjid Cheng Hoo Surabaya,-7.2519525,112.7467958,"Masjid Muhammad Cheng Hoo Surabaya, Jalan Gading, RW 11, Ketabang, Genteng, Surabaya, Jawa Timur, Jawa, 60161, Indonesia",Jawa Timur,Surabaya
Kampung Teluk,0.1978005,117.4482578,"Masjid Nur Jihad Kampung Salak, Jalan Poros Bontang-Sangatta, Martadinata, Kutai Timur, Kalimantan Timur, Kalimantan, 75321, Indonesia",Kalimantan Timur,Kutai Timur
Masjid Raya Makassar,-5.1305647,119.4197043,"Masjid Raya Makassar, Jalan Gunung Bulusaraung, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90153, Indonesia",Sulawesi Selatan,Makassar
Bukit Jimbaran,-8.8125135,115.1578894,"MaxOnehotels.com @ Bukit Jimbaran, Jalan Raya Uluwatu, Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80364, Indonesia",Bali,Badung
Mall Ambon,-3.6707484,128.1986222,"MCM Malaku City Mall, Jalan Jenderal Sudirman, Hative Kecil, Ambon, Maluku, 97128, Indonesia",Maluku,Ambon
Kampung Melayu Borneo,-3.3171899,114.6006391,"Melayu, Banjarmasin Tengah, Banjarmasin, Kalimantan Selatan, Kalimantan, 70234, Indonesia",Kalimantan Selatan,Banjarmasin
Mall Mesra Samarinda,-0.5010971,117.1465089,"Mesra Indah Mall, Jalan Jamrud, Pasar Pagi, Samarinda Kota, Samarinda, Kalimantan Timur, Kalimantan, 75129, Indonesia",Kalimantan Timur,Samarinda
Monkey Forest Ubud,-8.5187858,115.2608458,"Monkey Forest Ubud, Monkey Forest, Ubud, Kecamatan Ubud, Gianyar, Bali, Nusa Tenggara, 80571, Indonesia",Bali,Gianyar
Monumen Pattimura,-3.3060388,128.9589707,"Monumen Ir. Soekarno, Jalan Kapitan Pattimura, Masohi, Maluku Tengah, Maluku, 97511, Indonesia",Maluku,Maluku Tengah
Monumen Kapal Selam,-7.265434,112.7503063,"Monumen Kapal Selam, 39, Jalan Pemuda, RW 05, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia",Jawa Timur,Surabaya
Monumen Mandala,-5.1377059,119.4136222,"Monumen Mandala, Jalan Jenderal Sudirman, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90114, Indonesia",Sulawesi Selatan,Makassar
Monumen Nani Wartabone,0.5304033,123.0588683,"Monumen Nani Wartabone, Jalan Kalengkongan, Tenda, Gorontalo, Sulawesi, 96133, Indonesia",Gorontalo,Gorontalo
Monumen Nasional,-6.1754024,106.8271692,"Monumen Nasional, Jalan Medan Merdeka Utara, RW 02, Gambir, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10110, Indonesia",,Daerah Khusus ibukota Jakarta
Monumen Pancasila Sakti,-6.2883341,106.9068968,"Monumen Pancasila Sakti, Gang Bahagia II, RW 09, Lubang Buaya, Cipayung, Jakarta Timur, Daerah Khusus ibukota Jakarta, Jawa, 13810, Indonesia",,Jakarta Timur
Monumen Kalteng,-0.9607732,114.8977017,"Monumen Panglima Batur, Jalan Manggis, Muara Teweh, Barito Utara, Kalimantan Tengah, Kalimantan, 73811, Indonesia",Kalimantan Tengah,Barito Utara
Air Terjun Moramo,-4.221149,122.7452422,"Moramo - air terjun, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Konawe Selatan
Museum Affandi,-7.7827543,110.3963324,"Museum Affandi, 167, Jalan Laksda Adisucipto, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55281, Indonesia",Daerah Istimewa Yogyakarta,Sleman
Museum Angkut,-7.878829,112.5201389,"Museum Angkut, Jalan Terusan Sultan Agung, Pesanggrahan, Kota Batu, Jawa Timur, Jawa, 65314, Indonesia",Jawa Timur,Kota Batu
Museum Bahari,-6.1268288,106.8083185,"Museum Bahari, Jalan Pasar Ikan, RW 04, Penjaringan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14470, Indonesia",,Daerah Khusus ibukota Jakarta
Museum Balanga,-2.1956114,113.9016328,"Museum Balanga Kalimantan Tengah, Km 2.5, Jalan Tekukur II, Palangka, Palangka Raya, Kalimantan Tengah, Kalimantan, 73112, Indonesia",Kalimantan Tengah,Palangka Raya
Museum Palangka Raya,-2.1956114,113.9016328,"Museum Balanga Kalimantan Tengah, Km 2.5, Jalan Tekukur II, Palangka, Palangka Raya, Kalimantan Tengah, Kalimantan, 73112, Indonesia",Kalimantan Tengah,Palangka Raya
